param,base_value,variation,FW_base,FW_low,FW_high,S_FW,Anth_base,Anth_low,Anth_high,S_Anth,Stress_base,Stress_low,Stress_high,S_Stress,abs_S_FW,abs_S_Stress,abs_S_Anth
LAI_ref_vuln,6.5,30.0,61.84326036222399,89.98372654567844,45.09415588492023,-1.209767251323054,62.4214069548871,48.047410364077706,73.40801208123028,0.6771342010784075,29.320169318191205,0.4396882543132593,279.07917755432106,15.833497031512737,1.209767251323054,15.833497031512737,0.6771342010784075
E_50,475.2,30.0,61.84326036222399,53.278339106181875,74.59276749124741,0.57442067414256,62.4214069548871,67.52380326257773,55.90042029544617,-0.31034713714831724,29.320169318191205,67.86633584496565,9.196399653860945,-3.3338787077689056,0.57442067414256,3.3338787077689056,0.31034713714831724
n_vuln,8.0,20.0,61.84326036222399,56.277580558265264,68.145572825745,0.4797609391050607,62.4214069548871,65.84261578427032,58.945140075766005,-0.27624640507899906,29.320169318191205,49.634307051102205,16.75555192974573,-2.802468915595755,0.4797609391050607,2.802468915595755,0.27624640507899906
E_scale,237.6,30.0,61.84326036222399,54.314271595051004,67.90161439109171,0.36617686703605973,62.4214069548871,66.99214455635727,59.14322451162073,-0.2095680640032428,29.320169318191205,61.34280174157054,17.10498861272287,-2.513783256694352,0.36617686703605973,2.513783256694352,0.2095680640032428
ldmc_stress_sensitivity,1.0,30.0,61.84326036222399,67.29150854207028,57.21116581188949,-0.2716637369790153,62.4214069548871,59.34955591811418,65.4410590064087,0.1626446061123694,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.2716637369790153,0.0,0.1626446061123694
dw_fw_ratio_base,0.05,20.0,61.84326036222399,64.90138087421926,59.11703116572711,-0.23383104620505363,62.4214069548871,65.82861618804922,59.525174093023054,-0.2524551432965042,29.320169318191205,58.384766196276104,16.585648462968507,-3.5628091062010063,0.23383104620505363,3.5628091062010063,0.2524551432965042
stress_damage_coeff,6.6e-07,30.0,61.84326036222399,66.4831012165558,58.650124801644296,-0.2110975491113271,62.4214069548871,59.88937328599661,64.28530124665986,0.117372340011503,29.320169318191205,19.470725756528388,39.29275732967987,1.1263732892293847,0.2110975491113271,1.1263732892293847,0.117372340011503
k_intraday,49.0,30.0,61.84326036222399,66.27970778588109,58.75783769329718,-0.20271328000624309,62.4214069548871,59.995830132122975,64.21899592872661,0.11275954843653194,29.320169318191205,19.79374132374411,38.93980422363734,1.0879618350298457,0.20271328000624309,1.0879618350298457,0.11275954843653194
stress_nonlinear_coeff,8.0,30.0,61.84326036222399,65.70092626111187,59.02867509265869,-0.17981617639424105,62.4214069548871,60.27868354067723,64.06988332087299,0.10122595129733082,29.320169318191205,20.80692415108354,37.973111003882615,0.9754567425421257,0.17981617639424105,0.9754567425421257,0.10122595129733082
K_ldmc,50.0,30.0,61.84326036222399,58.181385472874695,64.61662064629813,0.17342863058780728,62.4214069548871,64.54645665356053,60.90283116290811,-0.0972856820653883,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.17342863058780728,0.0,0.0972856820653883
m_intraday,2.0,20.0,61.84326036222399,63.20389042718671,60.21822654519282,-0.12069479618742877,62.4214069548871,61.61636609000583,63.394400506626816,0.07121092359813339,29.320169318191205,25.839033901651966,34.11932077154405,0.7057823959403865,0.12069479618742877,0.7057823959403865,0.07121092359813339
stress_repair_coeff,1e-05,30.0,61.84326036222399,60.22332554816584,63.390096477906205,0.08534400545271435,62.4214069548871,63.583617817745186,61.369332896821625,-0.059121943067914136,29.320169318191205,34.09565572716028,25.447327307577034,-0.49143530481992836,0.08534400545271435,0.49143530481992836,0.059121943067914136
stress_photosynthesis_inhibition,0.66,20.0,61.84326036222399,62.878354036538546,60.803213312428824,-0.08388710071054448,62.4214069548871,61.668558673436976,63.2041373514246,0.0615004832836197,29.320169318191205,29.33877138118707,29.30156976492452,-0.003170934325247542,0.08388710071054448,0.003170934325247542,0.0615004832836197
stress_lai_inhibition,0.66,20.0,61.84326036222399,62.59570921378078,61.0653428998849,-0.06186471674246832,62.4214069548871,61.830227677200185,63.048569126596945,0.048795017159628994,29.320169318191205,27.325332342842543,31.55055117641715,0.36014272435123956,0.06186471674246832,0.36014272435123956,0.048795017159628994
par_conversion_factor,1.0,30.0,61.84326036222399,60.8654531629848,62.8200780827021,0.05267685080715378,62.4214069548871,63.048169531924586,61.81292818923596,-0.032981242679063404,29.320169318191205,30.721258149165635,28.006247688386395,-0.1542785991291756,0.05267685080715378,0.1542785991291756,0.032981242679063404
K_stress,1.9,30.0,61.84326036222399,61.47053417954367,62.16711807305363,0.018772832302986014,62.4214069548871,62.67987948609215,62.1941892887586,-0.012968045766856942,29.320169318191205,29.817412282695457,28.906129237843615,-0.05178303126300313,0.018772832302986014,0.05178303126300313,0.012968045766856942
K_nonlinear,0.8,30.0,61.84326036222399,61.55241638525917,62.11815406290586,0.015246546250771405,62.4214069548871,62.52214838902792,62.32571425905662,-0.005244838791529409,29.320169318191205,30.02084475536488,28.665196349589397,-0.07703378678501073,0.015246546250771405,0.07703378678501073,0.005244838791529409
base_anth_rate_dark,1e-10,30.0,61.84326036222399,61.84326035489729,61.84326037269519,4.796508063220313e-10,62.4214069548871,59.097331593517005,65.74548231397891,0.17750723255529488,29.320169318191205,29.32016933742127,29.320169290709437,-2.6543677102241847e-09,4.796508063220313e-10,2.6543677102241847e-09,0.17750723255529488
k_deg,3.02e-06,30.0,61.84326036222399,61.84326036360271,61.84326036091696,-7.2380618611723e-11,62.4214069548871,82.94503885645685,49.60818698937316,-0.8901020096940125,29.320169318191205,29.32016931457322,29.32016932162262,4.0057715735724546e-10,7.2380618611723e-11,4.0057715735724546e-10,0.8901020096940125
K_carbon,0.001,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,62.4214069548871,62.4214069548871,0.0,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.0
base_anth_rate_light,2e-10,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,48.15772236872879,76.68509154104652,0.761687658234909,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.761687658234909
V_max_anth,2.35e-11,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,61.28375660349098,63.559057306283705,0.06075107920474359,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.06075107920474359
K_stress_anth,0.3,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,62.46209205503231,62.38833973250233,-0.001969204853693827,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.001969204853693827
circadian_disruption_factor,3.0,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,62.4214069548871,62.4214069548871,0.0,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.0
repair_carbon_cost,1e-06,30.0,61.84326036222399,61.84326036222399,61.84326036222399,0.0,62.4214069548871,62.4214069548871,62.4214069548871,0.0,29.320169318191205,29.320169318191205,29.320169318191205,0.0,0.0,0.0,0.0
